S.No,Question,Options,Answer,Explanation,Subject,Sub-Topic
51,"In the Government of India Act 1919, the functions of Provincial
Government were divided into ""Reserved"" and ""Transferred"" subjects.
Which of the following were treated as ""Reserved"" subjects?

1. Administration of Justice

2. Local Self-Government

3. Land Revenue

4. Police

Select the correct answer using the code given below:","(a) 1, 2 and 3
(b) 2, 3 and 4
(c) 1, 3 and 4
(d) 1, 2 and 4",C,"Direct Answer: The Government of India Act 1919 introduced Dyarchy at
the provincial level, splitting subjects into Reserved and Transferred
categories.

Core Concept:

Reserved Subjects: These were the crucial domains of administration kept
under the direct control of the Governor and his Executive Council (who
were not responsible to the legislature). Key subjects included Police,
Administration of Justice, Land Revenue, Finance, and Irrigation.

Transferred Subjects: These were subjects of local concern administered
by the Governor on the advice of Indian Ministers (who were responsible
to the legislature). Key subjects included Local Self-Government,
Education, Public Health, and Agriculture.

Applying Elimination: Knowing that Local Self-Government (2) was a
Transferred subject allows you to eliminate options (a), (b), and (d),
leaving (c) as the correct answer.",History,Modern History
52,"In medieval India, the term ""Fanam"" referred to:","(a) Clothing
(b) Coins
(c) Ornaments
(d) Weapons",B,"Direct Answer: In medieval Indian history, a ""Fanam"" was a type of
coin widely used in South India.

Historical Context:

The Fanam was a small currency unit, originally minted in gold and later
in silver, heavily circulated during the Vijayanagara Empire, the
Maratha period, and the princely states of Travancore and Cochin.

Due to its widespread acceptance, European trading entities like the
Dutch, French, and English East India Companies also minted their own
Fanams (e.g., the Madras Fanam) for trade in the Coromandel coast and
southern regions.

UPSC Edge: Memorizing ancientmedieval administrative and economic
terminologies (coins, land grants, administrative units) is highly
rewarding for Prelims.",History,Medieval History
53,"Consider the following freedom fighters:

1. Barindra Kumar Ghosh

2. Jogesh Chandra Chatterjee

3. Rash Behari Bose

Who of the above waswere actively associated with the Ghadar Party?","(a) 1 and 2
(b) 2 only
(c) 1 and 3
(d) 3 only",D,"Direct Answer: Only Rash Behari Bose was actively associated with the
Ghadar Party out of the given options.

Detailed Breakdown:

Barindra Kumar Ghosh: A prominent revolutionary from Bengal, he was a
founding member of the Jugantar movement and the Anushilan Samiti, not
the Ghadar Party.

Jogesh Chandra Chatterjee: A revolutionary from the United Provinces
(UP)Bengal, he was a founding member of the Hindustan Republican
Association (HRA) and was convicted in the Kakori conspiracy case.

Rash Behari Bose: After the famous Delhi conspiracy case (assassination
attempt on Lord Hardinge in 1912), he played a central role in
organizing the pan-Indian mutiny in 1915 in close coordination with the
Ghadar Party (which was based in North America but planned an armed
revolt in India).",History,Modern History
54,"With reference to the proposals of Cripps Mission, consider the
following statements:

1. The Constituent Assembly would have members nominated by the
Provincial Assemblies as well as the Princely States.

2. Any Province, which is not prepared to accept the new Constitution
would have the right to sign a separate agreement with Britain regarding
its future status.

Which of the statements given above isare correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",B,"Statement 1 is Incorrect: According to the Cripps Mission (1942)
proposals, the constitution-making body (Constituent Assembly) was to be
constituted partly by members elected by the lower houses of the
Provincial Legislatures (through proportional representation) and partly
by members nominated by the Princes (for the Princely States). The
statement incorrectly claims members from Provincial Assemblies would be
nominated.

Statement 2 is Correct: To appease the Muslim League, the Cripps
proposal included a clause stating that any province unwilling to accept
the new constitution could choose to opt out of the Indian Union and
could negotiate a separate agreementconstitution directly with the
British Government.

UPSC Tip: Pay close attention to the words ""elected"" vs. ""nominated""
in modern history and polity questions regarding the Constituent
Assembly.",History,Modern History
55,"With reference to Indian history, consider the following texts:

1. Nettipakarana

2. Parishishtaparvan

3. Avadanashataka

4. Trishashtilakshana Mahapurana

Which of the above are Jaina texts?","(a) 1, 2 and 3
(b) 2 and 4 only
(c) 1, 3 and 4
(d) 2, 3 and 4",B,"Direct Answer: Parishishtaparvan and Trishashtilakshana Mahapurana are
significant Jaina texts.

Textual Breakdown:

Nettipakarana: Also known simply as Netti, it is a mythological Buddhist
text composed in Pali, providing a methodology for interpreting the
Buddha's discourses.

Parishishtaparvan: Written by the 12th-century Jaina polymath
Hemachandra, this Sanskrit text details the histories of the earliest
Jaina teachers.

Avadanashataka: The word ""Avadana"" strongly links to Buddhist
literature. It is an anthology of one hundred Buddhist legends written
in Sanskrit.

Trishashtilakshana Mahapurana: Often simply called the Mahapurana, this
is a major Jaina text authored by Jinasena (completed by his pupil
Gunabhadra), chronicling the lives of the 63 illustrious persons
(Tirthankaras and others) in Jainism.

Conclusion: Options 2 and 4 are Jaina texts.",History,Ancient History
56,"With reference to Indian history, consider the following pairs:

  Historical person       Known as 

 1. Aryadeva             Jaina scholar 

 2. Dignaga               Buddhist scholar 

 3. Nathamuni          Vaishnava scholar 

How many pairs given above are correctly matched ?","(a) None of the pairs
(b) Only one pair
(c) Only two pairs
(d) All three pairs",C,"Pair 1 is Incorrect: Aryadeva (3rd century CE) was an eminent Buddhist
monk and scholar. A disciple of Nagarjuna, he was a foundational figure
in the Madhyamaka (Middle Way) school of Mahayana Buddhism, not a Jaina
scholar.

Pair 2 is Correct: Dignaga (5th century CE) was a celebrated Buddhist
scholar and philosopher. He is widely considered one of the Buddhist
founders of Indian logic (Pramana).

Pair 3 is Correct: Nathamuni (9th-10th century CE) was a foundational
Vaishnava theologian. He is famous for collecting and compiling the
Tamil hymns of the Alvars into the Naalayira Divya Prabandham and is
considered the first Acharya of the Sri Vaishnava tradition.

Conclusion: Only two pairs (2 and 3) are correctly matched.",History,Ancient History
57,"With reference to Indian history, consider the following
statements:

1. The first Mongol invasion of India happened during the reign of
Jalal-ud-din Khalji.

2. During the reign of Ala-ud-din Khalji, one Mongol assault marched up
to Delhi and besieged the city.

3. Muhammad-bin-Tughlaq temporarily lost portions of north-west of his
kingdom to Mongols.

Which of the statements given above is/are correct?","(a) 1 and 2 only
(b) 2 only
(c) 1 and 3 only
(d) 3 only",B,"Statement 1 is Incorrect: The first threat of a Mongol invasion occurred
much earlier, during the reign of Iltutmish (1221) when Genghis Khan
pursued the Khwarezmian prince to the Indus River. The first actual
invasion deeper into Indian territory resulting in the capture of Lahore
happened in 1241 during the reign of Bahram Shah. Jalal-ud-din Khalji
came to power much later (1290).

Statement 2 is Correct: During Ala-ud-din Khalji's reign, the Mongols
invaded India repeatedly. The most severe threat occurred in 1303 when a
Mongol army led by Targhi marched completely unobstructed up to Delhi
and laid a prolonged siege to the capital, forcing Ala-ud-din to take
shelter in the Siri Fort.

Statement 3 is Incorrect: During Muhammad-bin-Tughlaq's reign, a Mongol
army under Tarmashirin invaded India. Rather than losing territory,
Muhammad-bin-Tughlaq successfully defeated them and pushed them back
across the Indus, asserting his authority over the north-western
frontiers.

Conclusion: Only statement 2 is correct.",History,Medieval History
58,"With reference to Indian history, who of the following were known
as ""Kulah-Daran""?","(a) Arab merchants
(b) Qalandars
(c) Persian calligraphists
(d) Sayyids",D,"Direct Answer: The term ""Kulah-Daran"" was used to refer to the Sayyids
during the Delhi Sultanate period.

Historical Context:

The Sayyids claimed direct descent from the Prophet Muhammad through his
daughter Fatima. They occupied a highly respected and privileged
position in the Muslim society of medieval India.

To visibly distinguish themselves from the common populace and signify
their noble lineage, the Sayyids wore a distinctive pointed head-dress
or cap known as a kulah.

Because they were the wearers of the kulah, they were historically
recorded by contemporary chroniclers as the Kulah-Daran (cap-wearers).",History,Medieval History
59,"With reference to Indian history, consider the following
statements:

1. The Dutch established their factorieswarehouses on the east coast
on lands granted to them by Gajapati rulers.

2. Alfonso de Albuquerque captured Goa from the Bijapur Sultanate.

3. The English East India Company established a factory at Madras on a
plot of land leased from a representative of the Vijayanagara empire.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",B,"Statement 1 is Incorrect: The timeline is entirely mismatched. The
Gajapati dynasty ruled Kalinga (Odisha) and parts of the east coast from
1434 to 1541 CE. The Dutch East India Company established its first
factory on the Coromandel coast at Masulipatnam much later, in 1605 CE,
under a farman issued by the Qutb Shahi Sultan of Golconda, long after
the Gajapati empire had collapsed.

Statement 2 is Correct: In 1510, the second Portuguese Governor of
India, Alfonso de Albuquerque, successfully attacked and captured the
port city of Goa from the Adil Shahi dynasty of the Bijapur Sultanate.

Statement 3 is Correct: In 1639, the English East India Company factor
Francis Day negotiated a grant of a strip of coastal land (Madraspatnam)
from Damarla Venkatapathy Nayak, a local Telugu chieftainviceroy
serving the declining Aravidu dynasty of the Vijayanagara Empire. This
plot became the site for Fort St. George.

Conclusion: Statements 2 and 3 are historically accurate.",History,Modern History
60,"According to Kautilya's Arthashastra, which of the following are
correct?

1. A person could be a slave as a result of a judicial punishment.

2. If a female slave bore her master a son, she was legally free.

3. If a son born to a female slave was fathered by her master, the son
was entitled to the legal status of the master's son.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Context: Kautilya's Arthashastra provides an elaborate legal framework
regarding the institution of slavery (Dasa) in ancient India, which was
markedly different and milder compared to Greek or Roman slavery.

Statement 1 is Correct: Kautilya lists several ways a person could be
enslaved. One of these was Dandapranita, meaning a person who was made a
slave by the state as a judicial punishment for committing a crime or
failing to pay a fine.

Statement 2 is Correct: The Arthashastra explicitly lays down humane
laws protecting female slaves. It states that if a female slave is
impregnated by her master and gives birth to a son, she automatically
earns her freedom.

Statement 3 is Correct: The text further mandates that the son born out
of this union between the master and the female slave is to be
recognized as a legitimate son of the master, inheriting the legal
status, rights, and privileges associated with it.

Conclusion: All three statements correctly reflect the progressive yet
structured legal codes regarding slavery in the Arthashastra.

Gemini said",History,Ancient History
61,"Consider the following statements:

1. Tight monetary policy of US Federal Reserve could lead to capital
flight.

2. Capital flight may increase the interest cost of firms with existing
External Commercial Borrowings (ECBs).

3. Devaluation of domestic currency decreases the currency risk
associated with ECBs.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3  Answer: X  Explanation:  Note: This question was dropped by UPSC in the final official answer key.  Statement 1 is Conceptually Correct: A tight monetary policy (raising interest rates) by the US Fed makes US bonds more attractive. This",,"Note: This question was dropped by UPSC in the final official answer
key.

Statement 1 is Conceptually Correct: A tight monetary policy (raising
interest rates) by the US Fed makes US bonds more attractive. This
causes foreign investors to pull their money out of emerging markets
like India, leading to ""capital flight.""

Statement 2 is Conceptually Correct: Capital flight causes the domestic
currency to depreciate. This means Indian firms that have borrowed in
dollars (ECBs) now need more Rupees to service the same dollar debt.

Statement 3 is Incorrect: Devaluationdepreciation of the domestic
currency actually increases the currency risk associated with ECBs,
making repayment much more expensive.

Why it was dropped: The ambiguity likely lies in Statement 2's phrasing
of ""interest cost."" While the overall cost of debt servicing increases
due to currency depreciation, the actual interest rate on the existing
ECB contract does not change. Due to this technical discrepancy, UPSC
dropped the question.",Economy,Financial Markets
62,"Consider the following States:

1. Andhra Pradesh

2. Kerala

3. Himachal Pradesh

4. Tripura

How many of the above are generally known as tea-producing States?","(a) Only one State
(b) Only two States
(c) Only three States
(d) All four States",D,"Direct Answer: According to the Tea Board of India, tea is cultivated in
about 15 states across the country. All four mentioned states officially
produce tea.

Detailed Breakdown:

Kerala: A major traditional tea producer in South India (regions like
Munnar and Wayanad).

Himachal Pradesh: Famous for its Kangra Tea, which has been cultivated
since the mid-19th century and holds a GI tag.

Tripura: It is one of the major tea-producing states in the Northeast,
ranking right after Assam.

Andhra Pradesh: While not a massive national player, tea is successfully
cultivated in the Araku Valley of Andhra Pradesh.

Conclusion: Therefore, all four states are recognized as tea-producing
states.",Geography,Agriculture
63,"Consider the following statements:

1. In India, credit rating agencies are regulated by Reserve Bank of
India.

2. The rating agency popularly known as ICRA is a public limited
company.

3. Brickwork Ratings is an Indian credit rating agency.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",B,"Statement 1 is Incorrect: Credit Rating Agencies (CRAs) in India are
authorized and strictly regulated by the Securities and Exchange Board
of India (SEBI) under the SEBI (Credit Rating Agencies) Regulations,
1999, not by the RBI.

Statement 2 is Correct: ICRA Limited is an independent and professional
investment information and credit rating agency. It is a Public Limited
Company with its shares listed on both the BSE and NSE. Moody's
Corporation is its largest shareholder.

Statement 3 is Correct: Brickwork Ratings (BWR) is an Indian credit
rating agency registered with SEBI and recognized by the RBI. It was
promoted by Canara Bank.

Conclusion: Statements 2 and 3 are correct.",Economy,Financial Markets
64,"With reference to the 'Banks Board Bureau (BBB)', which of the
following statements are correct?

1. The Governor of RBI is the Chairman of BBB.

2. BBB recommends for the selection of heads for Public Sector Banks.

3. BBB helps the Public Sector Banks in developing strategies and
capital raising plans.

Select the correct answer using the code given below:","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",B,"Context: The Banks Board Bureau (BBB) was an autonomous recommendatory
body set up in 2016 based on the P.J. Nayak Committee report. (It has
since been replaced by the Financial Services Institutions Bureau -
FSIB).

Statement 1 is Incorrect: The BBB was an autonomous body consisting of a
Chairman and expert members appointed by the Central Government. The
Governor of the RBI is not its Chairman (the first chairman was former
CAG Vinod Rai).

Statement 2 is Correct: The fundamental mandate of the BBB was to
recommend the selection of Full-Time Directors, Non-Executive
Chairpersons, and Managing Directors (heads) of Public Sector Banks
(PSBs) and state-owned financial institutions.

Statement 3 is Correct: Beyond appointments, the BBB was tasked with
engaging with the Board of Directors of PSBs to formulate appropriate
strategies for their growth and development, including helping them
build robust capital raising plans.

Conclusion: Statements 2 and 3 are correct.",Economy,Money and Banking
65,"With reference to Convertible Bonds, consider the following
statements:

1. As there is an option to exchange the bond for equity, Convertible
Bonds pay a lower rate of interest.

2. The option to convert to equity affords the bondholder a degree of
indexation to rising consumer prices.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",C,"Core Concept: A Convertible Bond is a fixed-income corporate debt
security that yields interest payments, but can be converted into a
predetermined number of common stock or equity shares.

Statement 1 is Correct: The conversion feature is an attractive
""sweetener"" for investors because it offers the potential for capital
appreciation if the company's stock price rises. Because of this added
benefit, investors are willing to accept a lower coupon rate (interest
rate) compared to a standard, non-convertible bond with the same risk
profile.

Statement 2 is Correct: Inflation (rising consumer prices) erodes the
real value of fixed interest payments of a standard bond. However,
equities (stocks) generally perform well during inflationary periods
because companies can raise prices, leading to higher revenues. By
having the option to convert the bond into equity, the bondholder gains
a natural hedge or a ""degree of indexation"" against inflation.

Conclusion: Both statements accurately describe the financial dynamics
of convertible bonds.",Economy,Financial Markets
66,"Consider the following:

1. Asian Infrastructure Investment Bank

2. Missile Technology Control Regime

3. Shanghai Cooperation Organisation

 India is a member of which of the above?","(a) 1 and 2 only
(b) 3 only
(c) 2 and 3 only
(d) 1, 2 and 3",D,"1. Asian Infrastructure Investment Bank (AIIB): India is a founding
member of the Beijing-based AIIB. India is the second-largest
shareholder (after China) and the largest beneficiary of its loan
portfolio.

2. Missile Technology Control Regime (MTCR): India officially joined
the MTCR in June 2016 as its 35th member. This entry allowed India to
buy high-end missile technology and also sell its own (like the BrahMos
missile).

3. Shanghai Cooperation Organisation (SCO): India (along with Pakistan)
was admitted as a full member of the SCO at the Astana summit in 2017.

Conclusion: India is a member of all three organizations, making (d) the
correct choice.",Economy,International Organisations
67,"Consider the following statements:

1. Vietnam has been one of the fastest growing economies in the world
in the recent years.

2. Vietnam is led by a multi-party political system.

3. Vietnam's economic growth is linked to its integration with global
supply chains and focus on exports.

4. For a long time Vietnam's low labour costs and stable exchange
rates have attracted global manufacturers.

5. Vietnam has the most productive e-service sector in the Indo-Pacific
region.

Which of the statements given above are correct?","(a) 2 and 4
(b) 3 and 5
(c) 1, 3 and 4
(d) 1 and 2",C,"Statement 1 is Correct: Vietnam has consistently recorded GDP growth
rates of 6-7% over the last decade, making it a standout performer
globally.

Statement 2 is Incorrect: Vietnam is fundamentally a single-party
socialist republic governed entirely by the Communist Party of Vietnam
(CPV). There is no multi-party political system.

Statement 3 is Correct: The bedrock of Vietnam's economic boom is its
aggressive export-led growth model and its deep integration into global
supply chains through multiple Free Trade Agreements.

Statement 4 is Correct: Benefiting from the ""China Plus One"" strategy,
global manufacturers have flocked to Vietnam specifically due to its
highly competitive, low-cost labour force, favorable demographics, and
stable macroeconomic policies.

Statement 5 is Incorrect: The ""most productive e-service sector"" in
the vast Indo-Pacific region belongs to tech giants like India,
Singapore, Japan, or South Korea. Vietnam's strength lies in
low-to-medium tier hardware manufacturing (like smartphones and
garments), not top-tier IT e-services.

Conclusion: By eliminating options containing 2 and 5, only option (c)
remains.",Economy,World Economy
68,"In India, which one of the following is responsible for maintaining
price stability by controlling inflation?","(a) Department of Consumer Affairs
(b) Expenditure Management Commission
(c) Financial Stability and Development Council
(d) Reserve Bank of India",D,"Direct Answer: The Reserve Bank of India (RBI) is statutorily mandated
to maintain price stability and control inflation in the country.

Core Concept: * The Reserve Bank of India Act, 1934 (amended in 2016)
explicitly provides a statutory basis for the implementation of the
flexible inflation-targeting framework.

The primary objective of monetary policy is to maintain price stability
while keeping in mind the objective of growth.

The Central Government, in consultation with the RBI, determines the
inflation target in terms of the Consumer Price Index (CPI), once in
every five years. The current target is 4% with a tolerance band of +-
2%.

The Monetary Policy Committee (MPC) of the RBI achieves this by
adjusting policy interest rates (like the Repo Rate) to manage liquidity
in the economy.",Economy,Monetary Policy
69,"With reference to Non-Fungible Tokens (NFTs), consider the
following statements:

1. They enable the digital representation of physical assets.

2. They are unique cryptographic tokens that exist on a blockchain.

3. They can be traded or exchanged at equivalency and therefore can be
used as a medium of commercial transactions.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",A,"What does ""Non-Fungible"" mean? Fungible assets (like Fiat money or
Bitcoin) can be exchanged on a one-for-one basis. Non-fungible means the
asset is one-of-a-kind and cannot be mutually exchanged at equivalency.

Statement 1 is Correct: NFTs are cryptographic assets. They can be used
to create verifiable digital representations (digital twins) of
real-world physical assets (such as physical art, real estate, or
collectibles), proving ownership and authenticity.

Statement 2 is Correct: NFTs exist on a blockchain (commonly the
Ethereum blockchain). They contain unique identification codes and
metadata that strictly distinguish one from another, making them
entirely unique cryptographic tokens.

Statement 3 is Incorrect: By their very definition, NFTs are
non-fungible. They cannot be traded or exchanged at equivalency with one
another because each has a distinct, subjective value. Because they lack
interchangeability, they cannot be used as a standard medium of
commercial exchange (like a currency).

Conclusion: Only statements 1 and 2 are correct.",Science and Tech,(CA) Economics
70,"Consider the following pairs:

 Reservoirs                  States  

1. Ghataprabha          Telangana 

 2. Gandhi Sagar       Madhya Pradesh 

 3. Indira Sagar         Andhra Pradesh 

 4. Maithon               Chhattisgarh 

 How many pairs given above are not correctly matched ?","(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",C,"Caution: Read the question carefully; it asks how many pairs are NOT
correctly matched.

Pair 1 is Incorrectly Matched: The Ghataprabha Reservoir (created by the
Hidkal Dam across the Ghataprabha river) is located in the Belagavi
district of Karnataka, not Telangana.

Pair 2 is Correctly Matched: The Gandhi Sagar Dam is one of the four
major dams built on India's Chambal River. It is located in the
Mandsaur and Neemuch districts of Madhya Pradesh.

Pair 3 is Incorrectly Matched: The Indira Sagar Dam is a multipurpose
project on the Narmada River, located in the Khandwa district of Madhya
Pradesh, not Andhra Pradesh.

Pair 4 is Incorrectly Matched: The Maithon Dam, part of the Damodar
Valley Corporation, is constructed on the Barakar River and is located
in Dhanbad, Jharkhand, not Chhattisgarh.

Conclusion: Out of the four pairs, exactly three pairs (1, 3, and 4) are
incorrectly matched. Hence, (c) is the correct answer.",Geography,Mapping India
71,"In India, which one of the following compiles information on
industrial disputes, closures, retrenchments and lay-offs in factories
employing workers ?","(a) Central Statistics Office
(b) Department for Promotion of Industry and Internal Trade
(c) Labour Bureau
(d) National Technical Manpower Information System",C,"Direct Answer: The Labour Bureau is the organization responsible for
compiling and publishing statistics related to labor and industrial
relations.

Core Functions of Labour Bureau:

Operating under the Ministry of Labour and Employment, the Labour Bureau
collects, collates, and publishes comprehensive data on various aspects
of labor, including employment, wages, earnings, industrial disputes
(strikes and lockouts), closures, retrenchments, and lay-offs in
factories covered under the Factories Act, 1948.

It is also highly significant for compiling the crucial Consumer Price
Index for Industrial Workers (CPI-IW), which is used to calculate
Dearness Allowance for government employees.

Why others are wrong: The CSO deals with national income accounts (GDP).
The DPIIT formulates industrial policies and monitors FDI.",Governance,Social Development
72,"In India, what is the role of the Coal Controller's Organization
(CCO)?

1. CCO is the major source of Coal Statistics in Government of India.

2. It monitors progress of development of Captive CoalLignite blocks.

3. It hears any objection to the Government's notification relating to
acquisition of coal-bearing areas.

4. It ensures that coal mining companies deliver the coal to end users
in the prescribed time.

Select the correct answer using the code given below:","(a) 1, 2 and 3
(b) 3 and 4 only
(c) 1 and 2 only
(d) 1, 2 and 4",A,"Context: The Coal Controller's Organisation (CCO) functions under the
Ministry of Coal.

Statement 1 is Correct: CCO acts as the principal nodal agency for the
collection, compilation, and dissemination of coal statistics across the
nation. It publishes the annual 'Coal Directory of India'.

Statement 2 is Correct: CCO is entrusted with monitoring the operational
progress of captive coal and lignite blocks allocated to various public
and private companies.

Statement 3 is Correct: Under the Coal Bearing Areas (Acquisition and
Development) Act, 1957, the Coal Controller acts as the competent
authority to hear objections filed by stakeholders regarding the central
government's notifications to acquire land for coal mining.

Statement 4 is Incorrect: Ensuring the timely logistical delivery of
coal to end-users (like power plants) is a commercial supply-chain
function managed by the coal-producing companies (like CIL) and
transporters (like Indian Railways). It falls entirely outside the
regulatory mandate of the CCO.

Conclusion: By eliminating statement 4, the correct answer is (a).",Economy,Government Institutions
73,"If a particular area is brought under the Fifth Schedule of the
Constitution of India, which one of the following statements best
reflects the consequence of it?","(a) This would prevent the transfer of land of tribal people to non-tribal people.
(b) This would create a local self-governing body in that area.
(c) This would convert that area into a Union Territory.
(d) The State having such areas would be declared a Special Category State.",A,"Direct Answer: The primary protection offered under the Fifth Schedule
is safeguarding tribal land rights by prohibiting its transfer to
non-tribals.

Core Constitutional Concept:

Article 244(1) and the Fifth Schedule deal with the administration and
control of Scheduled Areas and Scheduled Tribes in any state except the
four North-Eastern states (Assam, Meghalaya, Tripura, Mizoram).

Under Paragraph 5(2) of the Fifth Schedule, the Governor of the state is
empowered to make regulations that strictly prohibit or restrict the
transfer of land by or among members of the Scheduled Tribes in such
areas. This was famously upheld by the Supreme Court in the Samatha vs
State of AP judgement.

Why others are wrong: * Option (b) refers to the creation of Autonomous
District Councils (ADCs), which is a feature of the Sixth Schedule, not
the Fifth.

Options (c) and (d) are constitutionally baseless consequences.",Polity,Schedules
74,"Consider the following statements :

1. The India Sanitation Coalition is a platform to promote sustainable
sanitation and is funded by the Government of India and the World Health
Organization.

2. The National Institute of Urban Affairs is an apex body of the
Ministry of Housing and Urban Affairs in Government of India and
provides innovative solutions to address the challenges of Urban India.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",D,"Statement 1 is Incorrect: The India Sanitation Coalition (ISC) is a
multi-stakeholder platform launched by the Federation of Indian Chambers
of Commerce and Industry (FICCI) in 2015. While it supports the Swachh
Bharat Mission, it is not exclusively funded by the GoI and the WHO. It
receives support from various private entities and foundations, notably
the Bill and Melinda Gates Foundation.

Statement 2 is Incorrect: The National Institute of Urban Affairs (NIUA)
is an autonomous research institute and a premier think tank supported
by the Ministry of Housing and Urban Affairs (MoHUA). However,
characterizing it as the ""apex body of the Ministry"" is
institutionally incorrect. It serves an advisory, research, and
capacity-building role, not an apex administrative or regulatory
function.

UPSC Tip: Always critically evaluate organizational descriptions.
Phrases like ""funded by,"" ""apex body,"" or ""statutory body"" are
common areas where UPSC alters facts to test precision.",Governance,Government Institutions
75,"Which one of the following has been constituted under the
Environment (Protection) Act, 1986?","(a) Central Water Commission
(b) Central Ground Water Board
(c) Central Ground Water Authority
(d) National Water Development Agency",C,"Direct Answer: The Central Ground Water Authority (CGWA) was constituted
under Section 3(3) of the Environment (Protection) Act, 1986.

Core Context:  Following an order from the Supreme Court of India
aimed at addressing the severe depletion of groundwater levels, the
central government invoked the sweeping powers of the EPA 1986 to create
the CGWA. Its explicit mandate is to regulate and control the
development and management of groundwater resources across the country.

Why others are incorrect:  The Central Water Commission (CWC) is a
premier technical organization functioning as an attached office under
the Ministry of Jal Shakti.

The Central Ground Water Board (CGWB) is a subordinate office focused on
macro-level scientific surveys and exploration of groundwater.

The National Water Development Agency (NWDA) is a registered society set
up in 1982 to study the feasibility of inter-basin water transfer (river
interlinking).",Environment,Central Acts
76,"With reference to the ""United Nations Credentials Committee"",
consider the following statements:

1. It is a committee set up by the UN Security Council and works under
its supervision.

2. It traditionally meets in March, June and September every year.

3. It assesses the credentials of all UN members before submitting a
report to the General Assembly for approval.

Which of the statements given above is/are correct?","(a) 3 only
(b) 1 and 3
(c) 2 and 3
(d) 1 and 2",A,"Context: The UN Credentials Committee was in the news heavily during
2021-2022 because it had to decide whether to recognize the Taliban
representatives for Afghanistan and the military junta representatives
for Myanmar at the UN.

Statement 1 is Incorrect: The Credentials Committee is appointed by the
United Nations General Assembly (UNGA) at the beginning of each regular
session. It reports directly to the UNGA, not the UN Security Council.

Statement 2 is Incorrect: The committee does not have a fixed tri-annual
meeting schedule (March, June, September). Because the UNGA regular
session begins in September, the committee is formed then and typically
meets as necessary, mostly around November or December, to finalize its
report before the session closes.

Statement 3 is Correct: The fundamental mandate of the committee (which
consists of 9 member states) is to examine the credentials of
representatives of Member States and report back to the General Assembly
to either accept or reject them.

Conclusion: Only statement 3 is correct.",Polity,International Institutions
77,"Which one of the following statements best describes the 'Polar
Code'?","(a) It is the international code of safety for ships operating in polar waters.
(b) It is the agreement of the countries around the North Pole regarding the demarcation of their territories in the polar region.
(c) It is a set of norms to be followed by the countries whose scientists undertake research studies in the North Pole and South Pole.
(d) It is a trade and security agreement of the member countries of the Arctic Council.",A,"Direct Answer: The Polar Code is precisely the International Code for
Ships Operating in Polar Waters. Option (a) is the exact definition.

Core Details:

Developed and adopted by the International Maritime Organization (IMO),
the Polar Code entered into force on January 1, 2017.

It is a mandatory framework covering the full range of design,
construction, equipment, operational, training, search and rescue, and
environmental protection matters relevant to ships operating in the
harsh, ice-covered, and inhospitable waters surrounding the Arctic and
Antarctic poles.

Context: With global warming rapidly melting sea ice, new shipping
routes are opening up in the Arctic, drastically cutting transit times.
The IMO introduced the Polar Code to mitigate the high risks to human
life and the fragile polar ecosystems resulting from this increased
maritime traffic.",Environment,International conventions
78,"With reference to the United Nations General Assembly, consider the
following statements:

1. The UN General Assembly can grant observer status to the non-member
States.

2. Inter-governmental organisations can seek observer status in the UN
General Assembly.

3. Permanent Observers in the UN General Assembly can maintain missions
at the UN headquarters.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Concept of Observer Status: Observer status is a privilege granted by
the UN General Assembly to enable entities to participate in the
organization's work, though they lack the power to vote on resolutions.

Statement 1 is Correct: The UNGA has the authority to grant ""Non-member
Observer State"" status to sovereign entities. The two current entities
possessing this status are the Holy See (Vatican City) and the State of
Palestine.

Statement 2 is Correct: The UNGA also grants observer status to various
international and inter-governmental organizations (IGOs) whose work
covers matters of interest to the Assembly. Examples include the
European Union, the African Union, and INTERPOL.

Statement 3 is Correct: Permanent Observers (both non-member states and
large IGOs) have the right to maintain permanent missions or offices at
the UN Headquarters in New York, Geneva, and Vienna to facilitate
continuous diplomatic engagement.

Conclusion: All statements are correct.",Polity,International Institutions
