Q.No,Question,Options,Answer,Explanation
80,"Which of the following statements about the Ethics Committee in the
Lok Sabha are correct?

Initially it was an ad-hoc Committee.

Only a Member of the Lok Sabha can make a complaint relating to
unethical conduct of a member of the Lok Sabha.

This Committee cannot take up any matter which is sub-judice.

 using the code given below:","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",C,"Statement 1 is correct: The Ethics Committee of the Lok Sabha was
originally constituted in the year 2000 by the late Speaker G.M.C.
Balayogi as an ad-hoc committee. It was much later, in 2015, that it was
upgraded and became a permanent standing committee of the House.

Statement 3 is correct: According to established parliamentary rules,
the Ethics Committee is strictly prohibited from taking up any matter
that is sub-judice (currently under consideration by a court of law).
This ensures there is no conflict between the legislature and the
judiciary.

Statement 2 is incorrect: A complaint regarding the unethical conduct of
a Lok Sabha member can be made by another sitting member, or by an
outsider (a common citizen). However, if an outsider makes a complaint,
it must be forwarded/sponsored by a sitting Member of the Lok Sabha
along with necessary evidence. Thus, the assertion that ""only"" a
member can initiate a complaint is factually wrong."
81,"Consider the following statements regarding Nari 'Shakti Vandan
Adhiniyam':

Provisions will come into effect from the 18th Lok Sabha.

This will be in force for 15 years after becoming an Act.

There are provisions for the reservation of seats for Scheduled Castes
Women within the quota reserved for the Scheduled Castes.

Which of the statements given above are correct?","(a) 1, 2 and 3
(b) 1 and 2 only
(c) 2 and 3 only
(d) 1 and 3 only",C,"Statement 1 is incorrect: The 106th Constitutional Amendment Act (Nari
Shakti Vandan Adhiniyam) mandates a 33% reservation for women in the Lok
Sabha and State Assemblies. However, a crucial clause dictates that it
will come into effect only after a fresh census and subsequent
delimitation exercise are conducted. Therefore, it was not implemented
for the 18th Lok Sabha (the 2024 general elections).

Statement 2 is correct: The Act features a built-in ""sunset clause,""
stipulating that the reservation provisions will inherently expire 15
years after the commencement of the Act, unless extended further by an
act of Parliament.

Statement 3 is correct: The legislation provides for vertical and
horizontal reservation. Within the existing quota of seats reserved for
Scheduled Castes (SCs) and Scheduled Tribes (STs) in the legislature,
one-third (33%) will be sub-reserved specifically for women belonging to
those respective marginalized categories. Therefore, 2 and 3 are
correct."
82,"Which of the following statements about Exercise 'Mitra
Shakti-2023' are correct?

This was a joint military exercise between India and Bangladesh.

It commenced in Aundh (Pune).

Joint response during counter-terrorism operations was a goal of this
operation.

Indian Air Force was a part of this exercise.

 using the code given below :","(a) 1, 2 and 3
(b) 1, 2 and 4
(c) 1, 3 and 4
(d) 2, 3 and 4",D,"Statement 1 is incorrect: Exercise Mitra Shakti is a prominent bilateral
joint military exercise conducted between the armed forces of India and
Sri Lanka, not Bangladesh. (The primary joint exercise between India and
Bangladesh is known as Exercise Sampriti).

Statement 2 is correct: The 9th edition of the joint exercise, 'Mitra
Shakti-2023', was successfully conducted in November 2023 at the
Foreign Training Node located in Aundh, Pune.

Statement 3 is correct: The primary aim of the exercise was to achieve
synergy and enhance interoperability to conduct sub-conventional,
counter-insurgency, and counter-terrorism operations under Chapter VII
of the UN mandate.

Statement 4 is correct: For the first time, this specific edition saw
participation not just from the Army (represented by the Maratha Light
Infantry), but also robustly involved personnel from the Indian Air
Force, making it a comprehensive joint-services engagement. Thus, 2, 3,
and 4 are correct."
83,"A Writ of Prohibition is an order issued by the Supreme Court or
High Courts to:","(a) a government officer prohibiting him from taking a particular
action.
(b) the Parliament/Legislative Assembly to pass a law on Prohibition.
(c) the lower court prohibiting continuation of proceedings in a case.
(d) the Government prohibiting it from following an unconstitutional
policy.",C,"The correct answer is (c): The Writ of Prohibition (often colloquially
referred to in legal circles as a 'stay order') is a prerogative writ
issued by a superior court (the Supreme Court under Article 32 or High
Courts under Article 226) directed to an inferior court or
quasi-judicial tribunal.

Core Concept: Its primary purpose is to forbid or ""prohibit"" the lower
court from continuing proceedings in a case that falls completely
outside its legal jurisdiction or where it is acting in violation of the
rules of natural justice.

Distinctions: Unlike Mandamus, which directs an administrative official
or government body to perform a public duty (making options 'a' and
'd' incorrect), Prohibition is strictly judicial in nature. It is
preventive, stopping an action before an order is passed, whereas the
writ of Certiorari is curative, quashing an order that has already been
passed."
84,"Consider the following statements:

It is the Governor of the State who recognizes and declares any
community of that State as a Scheduled Tribe.

A community declared as a Scheduled Tribe in a State need not be so in
another State.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",B,"Statement 1 is incorrect: According to Article 342(1) of the Indian
Constitution, the power to first specify the tribes or tribal
communities as Scheduled Tribes (ST) in relation to a State or Union
Territory rests exclusively with the President of India, not the
Governor. The President issues this notification only after consulting
the Governor of the concerned State. Any subsequent inclusion or
exclusion can only be done by an Act of Parliament.

Statement 2 is correct: The constitutional list of Scheduled Tribes is
strictly State/UT specific. A community recognized as a Scheduled Tribe
in one state (e.g., due to its historical marginalization, distinct
culture, and geographical isolation in that specific area) might be
classified as a general class, OBC, or Scheduled Caste in a different
neighboring state where its socio-economic conditions do not meet the
criteria. Therefore, only statement 2 is correct."
85,"With reference to Union Budget, consider the following statements:

The Union Finance Minister on behalf of the Prime Minister lays the
Annual Financial Statement before both the Houses of Parliament.

At the Union level, no demand for a grant can be made except on the
recommendation of the President of India.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",C,"Note: According to the official UPSC Answer Key, the correct option is
(c), meaning both statements are considered correct.

Statement 1 context: Constitutionally, Article 112 states that the
President shall cause the Annual Financial Statement (Budget) to be laid
before both Houses. However, in parliamentary practice, the Union
Finance Minister physically presents the budget on behalf of the
government, which is headed by the Prime Minister. UPSC has treated this
practical convention as factually correct for the purpose of the exam.

Statement 2 is correct: Article 113(3) of the Constitution enforces
strict financial discipline. It explicitly mandates that ""no demand for
a grant shall be made except on the recommendation of the President.""
This means the executive government cannot ask Parliament for money to
spend without the formal prior approval of the Head of State."
86,"Who of the following is the author of the books ""The India Way""
and ""Why Bharat Matters""?","(a) Bhupender Yadav
(b) Nalin Mehta
(c) Shashi Tharoor
(d) Subrahmanyam Jaishankar",D,"The correct answer is (d) Subrahmanyam Jaishankar: Both books are highly
acclaimed works authored by Dr. S. Jaishankar, the current External
Affairs Minister of India and a former career diplomat.

Core Concepts: * ""The India Way: Strategies for an Uncertain World""
(published in 2020) outlines India's shift from a cautious non-aligned
past to a more confident, multi-aligned foreign policy approach in a
chaotic multipolar world.

""Why Bharat Matters"" (published in early 2024) explores India's
evolving geopolitical role. Interestingly, it intertwines modern
diplomatic challenges with analogies from the Indian epic Ramayana to
explain the 'Bharat' narrative and worldview on the global stage."
87,"Consider the following pairs:

| Country | Reason for being in the news |

|---|---|

| 1. Argentina | Worst economic crisis |

| 2. Sudan | War between the country's regular army and paramilitary
forces |

| 3. Turkey | Rescinded its membership of NATO |

How many of the pairs given above are correctly matched ?","(a) Only one pair
(b) Only two pairs
(c) All three pairs
(d) None of the pairs",B,"Row 1 is correctly matched: Argentina has been dominating global
headlines for experiencing one of its worst-ever economic crises,
characterized by crushing external debt, widespread poverty, and
astronomical hyperinflation rates exceeding 200%, prompting radical
'shock therapy' economic reforms by its new leadership.

Row 2 is correctly matched: Sudan has descended into a devastating civil
war since April 2023. The violent conflict is a direct power struggle
between the Sudanese Armed Forces (the regular national army led by Gen.
Abdel Fattah al-Burhan) and the Rapid Support Forces (a powerful
paramilitary group led by Gen. Dagalo).

Row 3 is incorrectly matched: Turkey has absolutely not rescinded its
membership in NATO. In fact, Turkey commands the second-largest standing
military force in NATO and remains a vital geopolitical anchor for the
alliance. It recently made news for negotiating the accession of Finland
and Sweden into NATO, not for leaving it. Therefore, exactly two pairs
are correct."
88,"Consider the following statements:

Statement-I: Sumed pipeline is a strategic route for Persian Gulf oil
and natural gas shipments to Europe.

Statement-II: Sumed pipeline connects the Red Sea with the Mediterranean
Sea.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",A,"Statement-I is correct: The Sumed pipeline is indeed a critical,
strategic energy infrastructure asset. It provides an essential
alternative overland route for transporting massive volumes of crude oil
from the Persian Gulf (Middle East) to European and North American
markets.

Statement-II is correct and explains Statement-I: The pipeline runs
completely across Egypt, physically connecting the Ain Sukhna terminal
on the Gulf of Suez (an arm of the Red Sea) to the Sidi Kerir terminal
on the Mediterranean Sea.

Explanation: Because the pipeline directly connects the Red Sea to the
Mediterranean (Statement II), it acts as a crucial bypass for the Suez
Canal. Supertankers (VLCCs) that are too heavily loaded to navigate
through the shallow Suez Canal can offload their oil into the pipeline
at the Red Sea, which is then pumped to the Mediterranean to be
reloaded. Thus, the geographical connection (II) is the precise reason
it serves as a strategic route (I)."
89,"Consider the following statements:

The Red Sea receives very little precipitation in any form.

No water enters the Red Sea from rivers.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",C,"Statement 1 is correct: The Red Sea is situated directly between the
arid desert regions of Northeast Africa (the Sahara) and the Arabian
Peninsula. Because it lies completely within a massive desert climate
belt, the entire Red Sea region experiences extremely low annual
precipitation.

Statement 2 is correct: A unique geographical and hydrological feature
of the Red Sea is that it completely lacks any permanent, perennial
river systems flowing into it. While minor seasonal wadis might
discharge small amounts of runoff during rare flash floods, there is
zero steady inflow of fresh river water.

Ecological Significance: The combination of extremely low precipitation,
zero river inflow, and intense desert heat causing high evaporation
rates makes the Red Sea one of the most saline bodies of open water in
the world (salinity hovering around 40 parts per thousand). Therefore,
both statements are factually accurate."
90,"According to the Environmental Protection Agency (EPA), which one
of the following is the largest source of sulphur dioxide emissions?","(a) Locomotives using fossil fuels
(b) Ships using fossil fuels
(c) Extraction of metals from ores
(d) Power plants using fossil fuels",D,"The correct answer is (d): According to official data from the US
Environmental Protection Agency (EPA) and corroborated by global
environmental monitoring bodies, the overwhelming majority of
atmospheric sulphur dioxide (SO2) comes from human activities involving
the continuous combustion of fossil fuels.

Power Plants: Specifically, the largest single source of SO2 emissions
worldwide is fossil fuel-fired power plants (predominantly coal-fired,
but also heavy fuel oil-fired power stations). They account for over 70%
of total SO2 emissions.

Why others are less significant: While the extraction of metals (like
smelting copper or zinc ores) and the heavy transportation sector
(locomotives and large cargo ships using bunker fuel) do release
significant amounts of SO2 and are targeted for emission reductions,
their total volumetric contribution is substantially lower than that of
massive, grid-scale power generation plants."
91,"Consider the following statements:

Statement-I: There is instability and worsening security situation in
the Sahel region.

Statement-II: There have been military takeovers/coups d'état in
several countries of the Sahel region in the recent past.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",A,"Statement-I is correct: The Sahel region (the vast semi-arid belt of
Africa stretching horizontally just south of the Sahara Desert) is
currently experiencing one of the world's most severe and rapidly
deteriorating security crises, driven by widespread Islamic insurgency,
terrorism, and poverty.

Statement-II is correct and explains Statement-I: In recent years, an
unprecedented wave of military coups d'état has swept across the
Sahel---specifically in Mali (2020, 2021), Burkina Faso (2022), Niger
(2023), and Chad. This is often referred to as the 'coup belt'.

Explanation: These repeated military takeovers (Statement II) have
dismantled fragile democratic institutions, weakened regional
cooperation (like the G5 Sahel), and alienated international security
partners (prompting the exit of French and UN forces). This massive
governance vacuum and political chaos directly explain why the region is
suffering from such acute instability and a worsening security situation
(Statement I) where jihadist groups are gaining ground. Thus, (a) is the
correct choice."
92,"Consider the following statements:

Statement-I: India does not import apples from the United States of
America.

Statement-II: In India, the law prohibits the import of Genetically
Modified food without the approval of the competent authority.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",D,"Statement-I is incorrect: India is historically one of the largest and
most lucrative export markets for apples grown in the United States of
America (particularly Washington State apples). While trade disputes led
to retaliatory tariffs in 2019 that temporarily suppressed volumes,
India absolutely does continue to import US apples. In fact, in 2023,
India agreed to remove those retaliatory tariffs, significantly boosting
US apple imports once again.

Statement-II is correct: Under India's strict bio-safety and food
safety regulations (governed by the Environment Protection Act, 1986 and
the FSSAI), it is entirely illegal to import any Genetically Modified
(GM) food, organism, or seeds into the country without the explicit,
prior approval of the competent statutory authority, primarily the
Genetic Engineering Appraisal Committee (GEAC).

Since the first statement is factually wrong and the second is an
accurate statement of Indian law, (d) is the right answer."
93,"With reference to the Speaker of the Lok Sabha, consider the
following statements:

While any resolution for the removal of the Speaker of the Lok Sabha is
under consideration:

He/She shall not preside.

He/She shall not have the right to speak.

He/She shall not be entitled to vote on the resolution in the first
instance.

Which of the statements given above is/are correct?","(a) 1 only
(b) 1 and 2 only
(c) 2 and 3 only
(d) 1, 2 and 3",A,"Statement 1 is correct: According to Article 96 of the Constitution of
India, whenever a resolution for the removal of the Speaker from their
office is under consideration in the Lok Sabha, the Speaker, though
present, shall not preside over the sittings of the House. The Deputy
Speaker or another member presides instead.

Statement 2 is incorrect: Even when a removal resolution is being
actively debated, the Speaker explicitly retains the constitutional
right to speak in the House, and to otherwise participate in its
proceedings to defend themselves. They are not silenced.

Statement 3 is incorrect: This is a crucial distinction in parliamentary
procedure. Normally, the presiding Speaker does not vote in the first
instance but only casts a ""casting vote"" in the event of a tie.
However, when the resolution for their own removal is being voted on,
they sit as an ordinary member. Consequently, they are entitled to vote
on the resolution ""in the first instance,"" but they lose the right to
a casting vote in case of an equality of votes. Therefore, only
statement 1 is true."
94,"With reference to the Indian Parliament, consider the following
statements:

A bill pending in the Lok Sabha lapses on its dissolution.

A bill passed by the Lok Sabha and pending in the Rajya Sabha lapses on
the dissolution of the Lok Sabha.

A bill in regard to which the President of India notified his/her
intention to summon the Houses to a joint sitting lapses on the
dissolution of the Lok Sabha.

Which of the statements given above is/are correct?","(a) 1 only
(b) 1 and 2
(c) 2 and 3
(d) 3 only",B,"Lapsing of Bills on Dissolution (Art 107): The dissolution of the Lok
Sabha has a profound effect on pending legislative business.

Statement 1 is correct: Any bill pending in the Lok Sabha---whether it
originated in the Lok Sabha itself or was transmitted to it by the Rajya
Sabha---automatically lapses when the Lok Sabha is dissolved.

Statement 2 is correct: A bill that has been successfully passed by the
Lok Sabha but is currently pending in the Council of States (Rajya
Sabha) also lapses upon the dissolution of the Lok Sabha, because the
originating house that gave it mandate ceases to exist.

Statement 3 is incorrect: The Constitution provides a specific
exception. If a legislative deadlock occurs and the President of India
notifies his intention to summon a joint sitting of both Houses (under
Article 108) before the dissolution of the Lok Sabha, the bill does not
lapse. The joint sitting can still be held after the new Lok Sabha is
constituted, and the bill can be passed. Therefore, only statements 1
and 2 are correct."
95,"With reference to the Parliament of India, consider the following
statements:

Prorogation of a House by the President of India does not require the
advice of the Council of Ministers.

Prorogation of a House is generally done after the House is adjourned
sine die but there is no bar to the President of India prorogating the
House which is in session.

Dissolution of the Lok Sabha is done by the President of India who, save
in exceptional circumstances, does so on the advice of the Council of
Ministers.

Which of the statements given above is/are correct?","(a) 1 only
(b) 1 and 2
(c) 2 and 3
(d) 3 only",C,"Statement 1 is incorrect: In India's parliamentary democracy, the
President is a nominal executive. The constitutional power to summon or
prorogue the Houses of Parliament (Article 85) is exercised by the
President strictly on the aid and advice of the Council of Ministers
headed by the Prime Minister. It is absolutely not a discretionary
power.

Statement 2 is correct: Normally, the presiding officer
(Speaker/Chairman) declares the House adjourned sine die (indefinitely)
upon completion of the session's scheduled business, after which the
President issues a formal notification of prorogation. However,
constitutionally and legally, there is no absolute bar preventing the
President from proroguing a House while it is actively in session
(though it is exceedingly rare).

Statement 3 is correct: The Lok Sabha is dissolved by the President. In
standard democratic practice, this is done on the binding advice of the
Council of Ministers (the Cabinet). The only ""exceptional
circumstances"" where the President can exercise situational discretion
is when the ruling government has lost its majority in the Lok Sabha
(vote of no confidence) and no alternative government can be formed.
Thus, 2 and 3 are correct."
96,"Consider the following statements:

Statement-I: The European Parliament approved The Net-Zero Industry Act
recently.

Statement-II: The European Union intends to achieve carbon neutrality by
2040 and therefore aims to develop all of its own clean technology by
that time.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",C,"Statement-I is correct: In early 2024, the European Parliament formally
approved the ""Net-Zero Industry Act"" (NZIA). This landmark legislation
is designed to aggressively boost the domestic manufacturing capacity of
net-zero and clean energy technologies within Europe to compete with
massive US and Chinese subsidies.

Statement-II is incorrect: The European Union's legally binding,
flagship climate objective---enshrined in the European Climate Law under
the broader European Green Deal---is to achieve absolute carbon
neutrality (net-zero greenhouse gas emissions) by the year 2050, not
2040.

Additionally, the EU does not unrealistically aim to develop ""all""
(100%) of its own clean technology in complete isolation; rather, the
NZIA sets a specific benchmark for the EU to manufacture at least 40% of
its annual deployment needs for strategic net-zero technologies
domestically by 2030. Therefore, the second statement is factually
flawed."
97,"Consider the following statements:

Statement-I: Recently, Venezuela has achieved a rapid recovery from its
economic crisis and succeeded in preventing its people from
fleeing/emigrating to other countries.

Statement-II: Venezuela has the world's largest oil reserves.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",D,"Statement-I is completely incorrect: Venezuela remains locked in a
devastating, decade-long socio-economic and political collapse under the
Maduro regime. It is suffering from chronic hyperinflation, systemic
corruption, and severe shortages of food and medicine. Far from
""succeeding in preventing emigration,"" the crisis has triggered one of
the largest displacement crises in the world, with over 7 million
Venezuelans having fled the country as refugees and migrants to places
like Colombia and the US.

Statement-II is correct: Geologically, it is a proven fact that
Venezuela possesses the largest proven crude oil reserves in the world
(estimated at over 300 billion barrels, primarily heavy crude located in
the Orinoco Belt), surpassing even Saudi Arabia. However, due to gross
mismanagement, underinvestment, and harsh international sanctions, its
actual daily oil production has plummeted. Since Statement I is
blatantly false and II is true, (d) is the correct option."
98,"With reference to the Digital India Land Records Modernisation
Programme, consider the following statements:

To implement the scheme, the Central Government provides 100% funding.

Under the Scheme, Cadastral Maps are digitised.

An initiative has been undertaken to transliterate the Records of Rights
from local language to any of the languages recognized by the
Constitution of India.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Statement 1 is correct: The Digital India Land Records Modernization
Programme (DILRMP) was revamped by the government. Effective from April
1, 2016, it operates strictly as a 100% centrally funded Central Sector
Scheme under the Department of Land Resources, Ministry of Rural
Development.

Statement 2 is correct: A core technical component of the DILRMP is the
comprehensive computerization of all land records. This explicitly
includes the digitization of spatial records, primarily the age-old
paper Cadastral Maps (detailed parcel-level maps showing property
boundaries), and their integration with textual records using GIS
technology.

Statement 3 is correct: To break down language barriers in a
linguistically diverse country and aid multi-lingual access, the
government launched an ambitious transliteration initiative. Using
advanced software, the textual 'Records of Rights' (RoR), which are
typically maintained in the local state language, can now be seamlessly
transliterated into any of the 22 languages recognized by the Eighth
Schedule of the Indian Constitution. Thus, all three statements are
correct."
99,"With reference to the 'Pradhan Mantri Surakshit Matritva
Abhiyan', consider the following statements:

This scheme guarantees a minimum package of antenatal care services to
women in their second and third trimesters of pregnancy and six months
post-delivery health care service in any government health facility.

Under this scheme, private sector health care providers of certain
specialities can volunteer to provide services at nearby government
health facilities.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",B,"Statement 1 is incorrect: The Pradhan Mantri Surakshit Matritva Abhiyan
(PMSMA) is a national program that aims to provide assured,
comprehensive, and quality Antenatal Care (ANC), free of cost,
universally to all pregnant women on the 9th of every month. While it
specifically targets women in their 2nd and 3rd trimesters to identify
high-risk pregnancies, the scheme is strictly an antenatal (before
birth) intervention program. It does NOT include a guarantee or mandate
for ""six months post-delivery health care service"" as part of its core
package.

Statement 2 is correct: A highly innovative and critical pillar of the
PMSMA is public-private partnership. The scheme actively encourages
private practitioners, particularly obstetricians, gynecologists, and
radiologists, to volunteer their expertise and time at public health
facilities on the 9th of every month to augment the government workforce
and provide expert care to poor women. Therefore, only statement 2 is
factually correct."
100,"With reference to the Pradhan Mantri Shram Yogi Maan-dhan (PM-SYM)
Yojana, consider the following statements:

The entry age group for enrolment in the scheme is 21 to 40 years.

Age specific contribution shall be made by the beneficiary.

Each subscriber under the scheme shall receive a minimum pension of
₹3,000 per month after attaining the age of 60 years.

Family pension is applicable to the spouse and unmarried daughters.

Which of the statements given above is/are correct?","(a) 1, 3 and 4
(b) 2 and 3 only
(c) 2 only
(d) 1, 2 and 4",B,"PM-SYM Overview: The Pradhan Mantri Shram Yogi Maan-dhan is a voluntary
and contributory pension scheme designed to provide old-age social
security to unorganized sector workers (like street vendors, rickshaw
pullers, domestic workers, etc.) whose monthly income is ₹15,000/ month
or less.

Statement 1 is incorrect: The eligible entry age group for enrollment
into the scheme is from 18 years to 40 years, not 21 to 40 years.

Statement 2 is correct: The scheme operates on a 50:50 matching
contribution basis. The subscriber makes a monthly age-specific
contribution (ranging from ₹55 to ₹200 depending on the exact age they
join), and the Central Government contributes an equal matching amount
to their pension account.

Statement 3 is correct: It is a defined benefit scheme. Upon attaining
the age of 60 years, every subscriber is guaranteed a minimum assured
pension of ₹3,000 per month.

Statement 4 is incorrect: Under the PM-SYM scheme, the rules for family
pension are highly restrictive. If the subscriber dies after the
retirement age, only the spouse of the beneficiary is entitled to
receive 50% of the pension as family pension. It is absolutely not
applicable to children (unmarried daughters or sons). Thus, only
statements 2 and 3 are correct."
