Q.No,2,Options,Answer,Explanation,Difficulty,TimePeriod,Sub- Topic
83,"Consider the following statements about the Maratha taxation system:

1. Chauth was a tax equivalent to 25% of the standard revenue assessment, demanded by Marathas in return for not raiding a territory.

2. Sardeshmukhi was an additional 10% levy which Shivaji claimed on the basis of being the supreme head of the Deshmukhs.

3. Both taxes were strictly levied primarily within the Swarajya (core Maratha territories) to fund local development.

Which of the statements given above is/are correct?","(A) 1 only
(B) 1 and 2 only
(C) 2 and 3 only
(D) 1, 2, and 3",B,"Direct Answer: Option B is correct because statements 1 and 2 perfectly define the two primary pillars of Maratha revenue extraction.

Why the other options are wrong: Statement 3 is entirely false. These taxes were explicitly levied on the Mughlai (neighboring Mughal territories and Deccan Sultanates), not inside the Swarajya. The Swarajya paid regular land revenue based on Malik Ambar's assessment system.

Core Concepts: Chauth and Sardeshmukhi were essentially organized protection rackets. They provided the Maratha state with massive, continuous infusions of wealth without the administrative burden of actually governing the exacted territories.

Peripheral Facts: The collection of these taxes was divided. The bulk of the Chauth (called Mokasa) was distributed among Maratha chieftains to maintain their troops, incentivizing their continuous loyalty to the Chhatrapati.",HARD,Medieval,Maratha Empire (Economy)
84,"With reference to the Sufi terminology prevalent in medieval India, consider the following columns:

(Term)                                (Meaning)
1. Khanqah               A Sufi hospice or center of religious learning.
2. Ziyarat                  The practice of pilgrimage to the tomb of a Sufi saint.
3. Murshid                 A disciple seeking spiritual guidance.

How many of the rows given above are correctly matched?","(A) Only one row
(B) Only two rows
(C) All three rows
(D) None of the rows",B,"Direct Answer: Option B is correct because rows 1 and 2 are accurate, but row 3 contains a deliberate reversal of terms.

Why the other options are wrong: Row 3 is incorrect. A Murshid is the spiritual master or teacher. The disciple who seeks guidance is known as a Murid.

Core Concepts: Sufism played a massive role in the social integration of medieval India. The Khanqahs served not only as religious centers but as places of refuge, food distribution (Langar), and cultural exchange for people of all faiths.

Peripheral Facts: The tomb of a Sufi saint (Dargah) became the center of devotion after his death, as followers believed the saint's soul had united with God (Urs) and could act as a powerful intercessor.",HARD,Medieval,Sufism (Terminology)
85,"Consider the following statements regarding the phenomenon of the 'Jagirdari Crisis' during the later Mughal period:

1. It was caused by a massive influx of new nobles into the administration, creating a severe shortage of profitable Jagirs to distribute.

2. To compensate for smaller land assignments, nobles began extracting brutal, maximum revenue from the peasantry, leading to widespread agrarian revolts.

3. Aurangzeb successfully solved this crisis by expanding the Khalisa (crown lands) and paying the nobles in cash.

Which of the statements given above are correct?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",A,"Direct Answer: Option A is correct because statements 1 and 2 accurately describe the structural breakdown of the Mughal economy.

Why the other options are wrong: Statement 3 is entirely false. Aurangzeb did not solve the crisis; his endless wars in the Deccan exacerbated it. He actually shrank the Khalisa lands to create more Jagirs to bribe defecting Maratha commanders, worsening the empire's financial ruin.

Core Concepts: The Jagirdari crisis is widely cited by historians (like Satish Chandra) as the primary internal cause for the collapse of the Mughal Empire. It broke the essential bond between the Emperor, the nobility, and the peasantry.

Peripheral Facts: The pressure on the peasantry triggered massive armed rebellions by agrarian communities like the Jats, Satnamis, and Sikhs, severely crippling imperial authority in North India.",HARD,Medieval,Mughal Empire (Decline)
86,"In the context of medieval Indian trade, the terms Satgaon, Cambay, and Masulipatnam were famously known as:","(A) Intricate styles of silk weaving.
(B) Major maritime port cities handling massive export trade.
(C) Indigenous banking networks that issued hundis (bills of exchange).
(D) Elite divisions of the Mughal imperial cavalry.",B,"Direct Answer: Option B is correct. All three locations were premier maritime port cities that formed the backbone of India's medieval global trade.

Why the other options are wrong: These terms denote specific geographic locations, not weaving styles, banking networks, or military divisions.

Core Concepts: India was the industrial workshop of the medieval world. Satgaon was the primary port of Bengal (exporting silk and rice), Cambay (Khambhat) was the jewel of Gujarat (exporting cotton textiles to the Middle East), and Masulipatnam dominated the Coromandel coast.

Peripheral Facts: Masulipatnam was heavily contested by the Dutch, English, and French East India Companies in the 17th century due to its lucrative monopoly on the export of Chintz (painted cotton).",HARD,Medieval,Medieval India (Economy & Ports)
87,"Consider the following statements regarding the Mughal nobility (Umara):

1. The nobility was highly diverse, comprising Turanis (Central Asians), Iranis (Persians), Afghans, and indigenous Rajputs.

2. The Watan Jagir was a unique, non-transferable land grant given exclusively to Rajput rulers in their own home territories.

3. Under Aurangzeb, the recruitment of Hindus into the nobility was strictly banned, making the administration entirely Islamic.

How many of the statements given above are correct?","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Direct Answer: Option B is correct because statements 1 and 2 represent core features of the Mughal administrative elite, while statement 3 is a factual trap.

Why the other options are wrong: Statement 3 is false. Despite his orthodox policies, Aurangzeb employed the highest percentage of Hindus (around 33%) in the imperial nobility compared to any previous emperor, heavily inducting Marathas and Rajputs out of political necessity.

Core Concepts: The Mughal Empire functioned successfully precisely because it integrated defeated local elites (like Rajputs) into its highest echelons, ensuring their loyalty through lucrative ranks and the protection of their ancestral lands (Watan Jagirs).

Peripheral Facts: Factionalism among the nobility (especially between the Sunni Turanis and the Shia Iranis) became a major destructive force in the 18th century, paralyzing the later Mughal emperors.",HARD,Medieval,Mughal Empire (Administration)
88,Which of the following statements best describes the Ayagar system prevalent in the Vijayanagara Empire?,"(A) It was a centralized espionage network established to monitor the activities of the Nayakas.
(B) It was a system of village administration where a body of 12 functionaries managed rural affairs in exchange for tax-free lands.
(C) It was the imperial department responsible for the procurement and breeding of war elephants.
(D) It was a revenue farming contract given to Portuguese merchants on the western coast.",B,"Direct Answer: Option B is correct. The Ayagar system was the fundamental unit of local governance where a group of 12 hereditary village officers (Ayagars) maintained law, order, and economy in rural areas.

Why the other options are wrong: Options A, C, and D are fabricated definitions designed to distract from the actual local administrative term.

Core Concepts: The establishment of the Ayagar system marked a significant shift from the previous Chola era. It severely curtailed the autonomy of the traditional Chola village assemblies (the Ur and Sabha), centralizing more power in the hands of state-appointed functionaries.

Peripheral Facts: The Ayagars were granted tax-free lands known as Manya for their services. They included accountants, watchmen, carpenters, and priests, ensuring the village functioned as a self-sufficient economic unit.",HARD,Medieval,Vijayanagara Empire (Administration)
89,"Consider the following pairs regarding literature authored during the medieval period:

(Book)                                (Language)
1. Baburnama Chagatai     Turkic
2. Tuzuk-i-Jahangiri            Persian
3. Padmavat                       Awadhi

Which of the pairs given above are correctly matched?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",D,"Direct Answer: Option D is correct as all three literary works are perfectly matched to the specific languages they were originally composed in.

Why the other options are wrong: Removing any pair would be factually incorrect. Babur wrote in his mother tongue (Turkic), Jahangir in the court language (Persian), and Malik Muhammad Jayasi in the regional vernacular (Awadhi).

Core Concepts: The medieval period was highly polyglot. While Persian was the ultimate language of administration, diplomacy, and high culture in the Mughal court, regional vernaculars heavily thrived under the patronage of Sufi and Bhakti movements.

Peripheral Facts: The Baburnama was later translated into Persian by Abdur Rahim Khan-i-Khanan during Akbar's reign so it could be widely read by the Persianized Mughal nobility.",HARD,Medieval,Medieval India (Literature)
90,"With reference to the medieval architectural developments in Delhi, consider the following statements:

1. The Alai Darwaza, built by Alauddin Khalji, is renowned for containing the first true dome and true arch in India.

2. The Tughlaq architecture is defined by the use of highly ornate white marble and the complete avoidance of sloping walls (batter).

3. The Lodi dynasty introduced the concept of the double dome to maintain proportional aesthetics both inside and outside the tomb.

How many of the statements given above are correct?","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Direct Answer: Option B is correct because statements 1 and 3 accurately describe Khalji and Lodi architectural innovations, while statement 2 contains opposite facts.

Why the other options are wrong: Statement 2 is false. Tughlaq architecture is deliberately austere, rarely using expensive marble, and is most famous for its robust, sloping walls (batter) designed to give structures immense strength.

Core Concepts: Indo-Islamic architecture evolved as a fusion. It combined the arcuate techniques (arches and domes) brought by the Turks with the trabeate techniques (lintels and corbels) executed by indigenous Indian craftsmen.

Peripheral Facts: The Lodi dynasty also popularized the octagonal tomb structure, heavily utilized later in the magnificent tomb of Sher Shah Suri at Sasaram.",HARD,Medieval,Delhi Sultanate (Architecture)
91,"Consider the following chronological sequence of major battles fought during the establishment and expansion of the Mughal Empire:

1. Battle of Haldighati

2. Battle of Chausa

3. Battle of Khanwa

4. Battle of Samugarh

What is the correct chronological order of the above battles, starting from the earliest?","(A) 3 - 2 - 1 - 4
(B) 2 - 3 - 1 - 4
(C) 3 - 1 - 2 - 4
(D) 2 - 1 - 3 - 4",A,"Direct Answer: Option A is correct. The proper sequence is Khanwa (1527), Chausa (1539), Haldighati (1576), and Samugarh (1658).

Why the other options are wrong: Any other sequence violates the historical timeline of the respective Mughal emperors involved (Babur -> Humayun -> Akbar -> Aurangzeb).

Core Concepts: Understanding decisive battles is critical. Khanwa (Babur vs Rana Sanga) secured Mughal rule in North India. Chausa (Humayun vs Sher Shah) temporarily expelled the Mughals. Haldighati (Akbar vs Maharana Pratap) expanded control in Rajputana. Samugarh decided the vicious war of succession in favor of Aurangzeb.

Peripheral Facts: At the Battle of Samugarh, Aurangzeb decisively defeated his eldest brother, the liberal and philosophically inclined Dara Shikoh, forever altering the religious trajectory of the empire.",HARD,Medieval,Mughal Empire (Political History)
92,Which of the following statements correctly distinguishes between the Khalisa and Jagir lands in the Mughal Empire?,"(A) Khalisa lands were granted exclusively for charitable purposes to religious scholars, while Jagir lands were held solely by the Emperor.
(B) The revenue of Khalisa lands went directly to the imperial treasury, whereas the revenue of Jagir lands was assigned to nobles in lieu of cash salaries.
(C) Khalisa lands were completely tax-free zones for merchants, while Jagir lands were subjected to double taxation.
(D) Jagir lands were strictly hereditary properties of Rajput princes, while Khalisa lands were temporary military camps.",B,"Direct Answer: Option B is correct. Khalisa lands were crown lands whose revenue flowed directly into the central treasury, while Jagirs were territorial assignments given to Mansabdars.

Why the other options are wrong: Option A is wrong because charitable religious lands were known as Madad-i-Maash or Suyurghal. Options C and D contain fabricated definitions not applicable to Mughal land tenure.

Core Concepts: The balance between Khalisa and Jagir lands dictated the financial health of the state. A strong emperor (like Akbar) maintained a large Khalisa to ensure state wealth, while a weak state saw Khalisa lands swallowed up by greedy nobles.

Peripheral Facts: The Mansabdars (Jagirdars) only possessed the right to collect revenue from the Jagir; they did not have absolute ownership rights over the land or the peasants cultivating it.",HARD,Medieval,Mughal Empire (Agrarian System)
93,"Consider the following pairs of foreign travelers and the detailed observations they documented about 17th-century India:

(Traveler)                                      (Observation)
1. Francois Bernier                   Asserted that the Emperor owned all land, leading to agricultural ruin.
2. Jean-Baptiste Tavernier       Documented the intricate details of the diamond trade and the Peacock Throne.
3. Niccolao Manucci                 Served as an artilleryman and chronicled the war of succession between Shah Jahan's sons.

Which of the pairs given above are correctly matched?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",D,"Direct Answer: Option D is correct as all three European travelers are perfectly matched to their most famous and distinct historical observations.

Why the other options are wrong: Eliminating any pair is incorrect as all three accounts are fundamental primary sources for Mughal history.

Core Concepts: 17th-century European accounts provide invaluable (though sometimes biased) perspectives on Mughal wealth, military technology, and socio-economic disparities. Bernier's ""Crown ownership of land"" theory was largely inaccurate but heavily influenced later European views of 'Oriental Despotism'.

Peripheral Facts: Tavernier was a French gem merchant who traveled to India six times and famously purchased the massive 'Tavernier Blue' diamond from the Golconda mines, which he later sold to King Louis XIV of France.",HARD,Medieval,Mughal Empire (Foreign Travelers)
94,Who was the first President of the Indian National Congress during its inaugural session in 1885?,"(A) A.O. Hume
(B) W.C. Bonnerjee
(C) Dadabhai Naoroji
(D) Badruddin Tyabji",B,"Direct Answer: Option B is correct. Womesh Chandra Bonnerjee was the first President of the Indian National Congress.

Why the other options are wrong: A.O. Hume was the founder and general secretary, not the president. Dadabhai Naoroji presided over the second session in 1886. Badruddin Tyabji was the first Muslim president in 1887.

Core Concepts: The INC was founded to provide a safe, constitutional outlet for Indian political grievances, often referred to as the ""Safety Valve"" theory by later radical critics.

Peripheral Facts: The first session was originally planned to be held in Poona, but due to a cholera outbreak, it was shifted to Gokuldas Tejpal Sanskrit College in Bombay, attended by 72 delegates.",EASY,Modern,Indian National Congress (Founding)
95,Which British Governor-General is famously associated with the introduction of the 'Doctrine of Lapse'?,"(A) Lord Wellesley
(B) Lord Cornwallis
(C) Lord Dalhousie
(D) Lord Hastings",C,"Direct Answer: Option C is correct. Lord Dalhousie introduced the Doctrine of Lapse as an aggressive annexation policy.

Why the other options are wrong: Lord Wellesley introduced the Subsidiary Alliance. Lord Cornwallis introduced the Permanent Settlement in Bengal. Lord Hastings initiated the policy of Paramountcy.

Core Concepts: The Doctrine of Lapse dictated that if an Indian ruler of a dependent state died without a natural biological male heir, the state would ""lapse"" to the British East India Company.

Peripheral Facts: Satara (1848) was the first state annexed under this doctrine, followed by Jaitpur, Sambalpur, Udaipur, Jhansi, and Nagpur, heavily contributing to the outbreak of the 1857 Revolt.",EASY,Modern,British Expansion Policies
96,"The Champaran Satyagraha of 1917, Mahatma Gandhi's first major civil disobedience movement in India, was organized to protest against which system?","(A) Ryotwari system
(B) Tinkathia system
(C) Mahalwari system
(D) Zamindari system",B,"Direct Answer: Option B is correct. The movement was launched to protest the oppressive Tinkathia system imposed by European indigo planters.

Why the other options are wrong: Ryotwari, Mahalwari, and Zamindari were broader British land revenue settlements, not specific to the forced indigo cultivation in Bihar.

Core Concepts: Under the Tinkathia system, peasants in Champaran were legally forced to cultivate indigo on 3/20th of their total landholdings at fixed, unremunerative prices.

Peripheral Facts: Rajkumar Shukla was the local peasant leader who persistently persuaded Gandhi at the 1916 Lucknow session to visit Champaran and witness the plight of the farmers.",EASY,Modern,Gandhian Movements
97,Which prominent socio-religious reform organization was founded by Swami Dayanand Saraswati in 1875?,"(A) Brahmo Samaj
(B) Ramakrishna Mission
(C) Arya Samaj
(D) Theosophical Society",C,"Direct Answer: Option C is correct. Swami Dayanand Saraswati founded the Arya Samaj in Bombay in 1875.

Why the other options are wrong: Brahmo Samaj was founded by Raja Rammohun Roy. Ramakrishna Mission was founded by Swami Vivekananda. The Theosophical Society was founded by Madame Blavatsky and Colonel Olcott.

Core Concepts: The Arya Samaj was a revivalist movement that aimed to re-establish the pristine, infallible authority of the Vedas, famously giving the clarion call ""Go back to the Vedas.""

Peripheral Facts: The organization vehemently opposed idol worship, polytheism, and the hereditary caste system, and introduced the Shuddhi movement to reconvert individuals back to the Hindu fold.",EASY,Modern,Socio-Religious Reforms
98,"The Rowlatt Act, which authorized the British government to imprison individuals without trial, was passed in which year?","(A) 1909
(B) 1919
(C) 1927
(D) 1935",B,"Direct Answer: Option B is correct. The Anarchical and Revolutionary Crimes Act, popularly known as the Rowlatt Act, was passed in March 1919.

Why the other options are wrong: 1909 marks the Morley-Minto Reforms. 1927 was the year the Simon Commission was appointed. 1935 marks the Government of India Act.

Core Concepts: The act was designed to replace the wartime Defence of India Act and permanently suppress nationalist terrorism by allowing indefinite detention without trial and strict press censorship.

Peripheral Facts: The massive nationwide protests against this ""Black Act"" culminated in the tragic Jallianwala Bagh massacre on April 13, 1919, in Amritsar.",EASY,Modern,Freedom Struggle (Mass Movements)
99,"Who among the following gave the famous slogan ""Swaraj is my birthright, and I shall have it""?","(A) Bipin Chandra Pal
(B) Lala Lajpat Rai
(C) Bal Gangadhar Tilak
(D) Aurobindo Ghosh",C,"Direct Answer: Option C is correct. Bal Gangadhar Tilak popularized this powerful assertion of political independence.

Why the other options are wrong: While all options belong to the 'Extremist' faction (Lal-Bal-Pal and Ghosh), this specific, enduring slogan was coined by Tilak.

Core Concepts: The Extremists rejected the 'Moderate' methods of prayer and petition, advocating instead for passive resistance, Swadeshi, boycott, and full independence (Swaraj).

Peripheral Facts: Tilak utilized traditional religious and cultural festivals, specifically the Ganapati (1893) and Shivaji (1895) festivals, to mobilize the masses against British rule.",EASY,Modern,Extremist Nationalism
100,Which British Viceroy was responsible for the highly controversial Partition of Bengal in 1905?,"(A) Lord Lytton
(B) Lord Ripon
(C) Lord Curzon
(D) Lord Hardinge",C,"Direct Answer: Option C is correct. Lord Curzon ordered the Partition of Bengal, which officially took effect on October 16, 1905.

Why the other options are wrong: Lytton passed the Vernacular Press Act. Ripon is known as the father of local self-government. Hardinge was the Viceroy when the partition was officially annulled in 1911.

Core Concepts: The British justified the partition on administrative grounds due to the massive size of the Bengal presidency, but the underlying political motive was to divide the Hindu-Muslim populations and weaken the nerve center of Indian nationalism.

Peripheral Facts: The partition triggered the massive Swadeshi and Boycott movements, transforming the Indian national movement from elite intellectual debates to mass street protests.",EASY,Modern,Partition of Bengal
101,"The Vernacular Press Act of 1878, aimed at curtailing the freedom of the Indian-language press, was introduced by:","(A) Lord Canning
(B) Lord Lytton
(C) Lord Dufferin
(D) Lord Curzon",B,"Direct Answer: Option B is correct. The Vernacular Press Act was enacted during the viceroyalty of Lord Lytton in 1878.

Why the other options are wrong: Canning was Viceroy during the 1857 revolt. Dufferin was Viceroy during the founding of the INC in 1885. Curzon partitioned Bengal.

Core Concepts: The act, nicknamed the ""Gagging Act,"" severely discriminated between English and vernacular presses, empowering magistrates to confiscate printing machinery of regional newspapers publishing seditious material.

Peripheral Facts: Amrita Bazar Patrika, an Indian-language newspaper, famously turned into an English daily overnight to evade the severe restrictions of this specific Act.",EASY,Modern,British Administrative Policies (Press)
102,Which of the following leaders is recognized as the principal architect of the Indian Constitution and the Chairman of its Drafting Committee?,"(A) Jawaharlal Nehru
(B) Sardar Vallabhbhai Patel
(C) Dr. B.R. Ambedkar
(D) Dr. Rajendra Prasad",C,"Direct Answer: Option C is correct. Dr. B.R. Ambedkar was appointed as the Chairman of the Drafting Committee of the Constituent Assembly.

Why the other options are wrong: Nehru headed the Union Powers Committee. Patel headed the Provincial Constitution Committee. Rajendra Prasad was the President of the Constituent Assembly.

Core Concepts: The Drafting Committee was tasked with synthesizing various committee reports and legal precedents to craft the foundational democratic framework and fundamental rights of independent India.

Peripheral Facts: Ambedkar was a staunch advocate for the eradication of untouchability and established the Scheduled Castes Federation to fight for the political rights of the Depressed Classes.",EASY,Modern,Constitutional History
103,"The historical Dandi March, which initiated the Civil Disobedience Movement in 1930, began from which location?","(A) Bardoli
(B) Sabarmati Ashram
(C) Wardha Ashram
(D) Champaran",B,"Direct Answer: Option B is correct. Mahatma Gandhi and his 78 chosen followers began the march from the Sabarmati Ashram in Ahmedabad.

Why the other options are wrong: Bardoli is famous for the 1928 Satyagraha led by Sardar Patel. Wardha became Gandhi's later headquarters. Champaran was his first satyagraha in 1917.

Core Concepts: The march aimed to deliberately break the draconian British salt law at the coastal village of Dandi, symbolizing a massive, nationwide defiance of colonial economic monopolies.

Peripheral Facts: The 240-mile journey took 24 days, and the breaking of the salt law on April 6, 1930, sparked identical symbolic salt-making protests across the entire Indian coastline.",EASY,Modern,Civil Disobedience Movement
104,Who among the following established the 'Servants of India Society' in 1905 to train national missionaries for the service of India?,"(A) Gopal Krishna Gokhale
(B) Surendranath Banerjee
(C) Madan Mohan Malaviya
(D) V.D. Savarkar",A,"Direct Answer: Option A is correct. Gopal Krishna Gokhale, a prominent Moderate leader, founded the Servants of India Society in Pune.

Why the other options are wrong: Surendranath Banerjee founded the Indian National Association. Malaviya founded the Hindu Mahasabha. Savarkar founded the revolutionary Abhinav Bharat Society.

Core Concepts: The society aimed to build a dedicated cadre of selfless workers devoted to the cause of national education, social upliftment, and constitutional agitation, staying away from radical politics.

Peripheral Facts: Gokhale was widely regarded as the political guru of Mahatma Gandhi, who initially sought to join the society upon returning to India from South Africa.",EASY,Modern,Moderate Phase Nationalism
105,"The Permanent Settlement of land revenue, introduced in 1793, primarily affected which of the following regions?","(A) Madras and Bombay Presidencies
(B) Punjab and North-Western Provinces
(C) Bengal and Bihar
(D) Central Provinces and Berar",C,"Direct Answer: Option C is correct. The Permanent Settlement (Zamindari system) was introduced by Lord Cornwallis specifically in Bengal, Bihar, and Orissa.

Why the other options are wrong: Madras and Bombay primarily saw the Ryotwari system. Punjab and the North-Western Provinces were dominated by the Mahalwari system. The Central Provinces utilized modified Malguzari systems.

Core Concepts: Under this system, the Zamindars were recognized as absolute owners of the land as long as they paid a permanently fixed revenue demand (10/11th portion) to the British state.

Peripheral Facts: The system was intended to create a loyal class of landholders and ensure stable revenue, but it led to massive absentee landlordism, extreme exploitation of tenants, and the infamous ""Sunset Law"" evictions.",EASY,Modern,British Economic Policies
106,"Consider the following pairs of prominent nationalist leaders and the newspapers/journals they founded:

(Leader)                         (Journal)
1. Abul Kalam Azad       Al-Hilal
2. Annie Besant             New India
3. Mahatma Gandhi     Prabuddha Bharata

Which of the pairs given above are correctly matched?        ","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",A,"Direct Answer: Option A is correct because pairs 1 and 2 are accurately matched, while pair 3 is incorrect.

Why the other options are wrong: Pair 3 is false. Prabuddha Bharata was an English-language monthly journal founded by Swami Vivekananda. Mahatma Gandhi was associated with Harijan, Young India, and Navajivan.

Core Concepts: The nationalist press was the primary vehicle for political education and mass mobilization. Leaders used regional and English newspapers to critique colonial policies and bypass strict assembly laws.

Peripheral Facts: Annie Besant utilized her newspapers, New India and Commonweal, to massively popularize the Home Rule League movement across the Madras Presidency.",MEDIUM,Modern,Development of Press
107,The Government of India Act 1919 (Montagu-Chelmsford Reforms) introduced the system of 'Dyarchy'. What did this specific term signify?,"(A) Separation of the central legislature into an Upper House and a Lower House.
(B) Division of provincial subjects into 'Reserved' and 'Transferred' categories.
(C) The dual rule of the British Crown and the East India Company.
(D) Introduction of separate electorates for Hindus and Muslims.",B,"Direct Answer: Option B is correct. Dyarchy meant the division of the executive branch of provincial governments into two halves: Reserved subjects and Transferred subjects.

Why the other options are wrong: Option A describes bicameralism at the center, which was also introduced by this act but is not what ""Dyarchy"" means. Option C refers to the Board of Control and Court of Directors pre-1858. Option D refers to the 1909 Morley-Minto reforms.

Core Concepts: Reserved subjects (police, finance) were administered by the Governor and his unelected executive council. Transferred subjects (education, health) were administered by the Governor with the aid of elected Indian ministers.

Peripheral Facts: The system proved to be a massive administrative failure because Indian ministers were given responsibility for nation-building departments without any corresponding financial power to fund them.",MEDIUM,Modern,Constitutional Development
108,"Consider the following features of British land revenue settlements:

1. In the Ryotwari system, the revenue was directly settled with the individual peasant (ryot) and was subject to periodic revision.

2. In the Mahalwari system, the revenue settlement was made with the entire village community (mahal) jointly.

3. The Permanent Settlement granted hereditary ownership rights to Zamindars but protected the occupancy rights of the cultivating tenants.

Which of the statements given above is/are correct?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",A,"Direct Answer: Option A is correct because statements 1 and 2 accurately describe the Ryotwari and Mahalwari mechanisms.

Why the other options are wrong: Statement 3 is false. The fatal flaw of the Permanent Settlement of 1793 was that it completely ignored and destroyed the traditional occupancy rights of the tenants, reducing them to mere tenants-at-will at the mercy of the Zamindar.

Core Concepts: British land settlements were designed to maximize revenue extraction. The Ryotwari system (introduced by Munro in Madras) eliminated middlemen, while the Mahalwari system (introduced by Holt Mackenzie in the North-West) relied on village headmen for collective collection.

Peripheral Facts: The extreme revenue demands in all three systems led to the rapid commercialization of agriculture, forcing peasants to grow cash crops (like cotton and indigo) to pay taxes in cash, leading to severe famines.",MEDIUM,Modern,British Economic Policies
109,"The Ilbert Bill controversy of 1883, during the viceroyalty of Lord Ripon, erupted primarily because the bill proposed to:","(A) Grant Indian magistrates the jurisdiction to try European subjects in criminal cases.
(B) Raise the minimum marriageable age for Indian girls, angering orthodox groups.
(C) Severely restrict the freedom of the Indian vernacular press.
(D) Abolish the statutory civil service and open all posts to competitive exams.",A,"Direct Answer: Option A is correct. The Ilbert Bill sought to remove racial discrimination in the judiciary by allowing senior Indian magistrates to preside over cases involving British and European citizens.

Why the other options are wrong: Option B refers to the Age of Consent Act (1891). Option C refers to the Vernacular Press Act (1878). Option D refers to broader civil service reform demands of the early nationalists.

Core Concepts: The bill exposed the deeply ingrained racial arrogance of the colonial establishment. The massive, organized backlash from the European community (the ""White Mutiny"") forced Ripon to amend the bill, rendering it toothless.

Peripheral Facts: This controversy was a pivotal eye-opener for the Indian intelligentsia, demonstrating that organized political agitation was the only way to secure rights, directly accelerating the formation of the Indian National Congress in 1885.",MEDIUM,Modern,Pre-Congress Nationalism
110,"Arrange the following major events of the Indian freedom struggle in their correct chronological order:

1. The August Offer

2. The Quit India Movement

3. The Gandhi-Irwin Pact

4. The Chauri Chaura incident

Select the correct sequence:","(A) 4 - 3 - 1 - 2
(B) 4 - 1 - 3 - 2
(C) 3 - 4 - 1 - 2
(D) 4 - 3 - 2 - 1",A,"Direct Answer: Option A is correct. The sequence is: Chauri Chaura (1922), Gandhi-Irwin Pact (1931), August Offer (1940), and Quit India Movement (1942).

Why the other options are wrong: Any other sequence scrambles the foundational timeline of the mass movements and World War II-era negotiations.

Core Concepts: Chauri Chaura led to the suspension of Non-Cooperation. The Gandhi-Irwin Pact marked a temporary truce in the Civil Disobedience Movement. The August Offer was a failed British attempt to secure Indian cooperation in WWII. Quit India was the final mass uprising.

Peripheral Facts: The August Offer was the first time the British explicitly acknowledged the Indian demand for a Constituent Assembly, though it was rejected because it only offered 'Dominion Status' instead of complete independence.",MEDIUM,Modern,Chronology of Freedom Struggle
111,Which of the following was NOT a prominent feature or method of the Swadeshi Movement (1905-1908)?,"(A) Mass burning of foreign cloth and picketing of shops selling foreign goods.
(B) Establishment of national educational institutions to rival government schools.
(C) Widespread armed mutinies orchestrated within the British Indian Army.
(D) Boycott of government titles, honors, and legislative councils.",C,"Direct Answer: Option C is the correct answer because orchestrating armed mutinies in the army was not a feature of the Swadeshi Movement.

Why the other options are wrong: Options A, B, and D were all explicit, core strategies employed by the Swadeshi leaders to economically and administratively paralyze the British government following the partition of Bengal.

Core Concepts: The Swadeshi Movement marked the shift from 'Moderate' petitioning to 'Extremist' passive resistance. It heavily emphasized self-reliance (Atmashakti), promoting indigenous industries, handlooms, and national education (like the Bengal National College led by Aurobindo Ghosh).

Peripheral Facts: While the mainstream movement was largely peaceful and political, its eventual violent suppression by the state directly gave birth to the first wave of organized revolutionary terrorism (e.g., the Anushilan Samiti).",MEDIUM,Modern,Swadeshi Movement
112,"Under the Subsidiary Alliance system introduced by Lord Wellesley, an Indian ruler who accepted the alliance was compelled to agree to which of the following conditions?

1. He had to disband his native armed forces and maintain a permanent British garrison within his territory.

2. He could not employ any European in his service without prior British approval.

3. He had to surrender his entire internal revenue collection machinery directly to the East India Company.","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",A,"Direct Answer: Option A is correct because statements 1 and 2 are core provisions of the Subsidiary Alliance.

Why the other options are wrong: Statement 3 is false. The ruler retained internal administrative and revenue control of his state. He only surrendered his external sovereignty (foreign policy) and military independence.

Core Concepts: The Subsidiary Alliance was a masterstroke of British imperialism. It allowed the Company to maintain a massive standing army at the expense of Indian princes while completely neutralizing any potential French influence in the subcontinent.

Peripheral Facts: The Nizam of Hyderabad (1798) was the very first Indian ruler to accept this alliance. If a ruler failed to pay the subsidy for the British troops, portions of his territory were permanently annexed as a penalty.",MEDIUM,Modern,British Expansion Policies
